id;pagetitle;published;configuration_id;doors-count;generation;generation_name;is_restyle;mark_id;model_class;model_id;model;car-price
29455;"LEXUS NX внедорожник 5 дв. I Рестайлинг";0;21131110;5;21131043;"I Рестайлинг";1;LEXUS;D;LEXUS_NX;NX;2360000
29457;"LEXUS RC F купе I";0;20268185;2;20268869;I;0;LEXUS;D;LEXUS_RC_F;"RC F";4190000
29459;"LEXUS ES седан VII";0;21328607;4;21328546;VII;0;LEXUS;E;LEXUS_ES;ES;2448000
29461;"LEXUS GX внедорожник 5 дв. II Рестайлинг";0;20038323;5;20038320;"II Рестайлинг";1;LEXUS;J;LEXUS_GX;GX;3100000
29463;"LEXUS IS седан III Рестайлинг";0;20892704;4;20892648;"III Рестайлинг";1;LEXUS;D;LEXUS_IS;IS;2000000
29465;"LEXUS LS седан V";0;21120644;4;21120612;V;0;LEXUS;F;LEXUS_LS;LS;5699000
29467;"LEXUS RX внедорожник 5 дв. IV";0;20526090;5;20526067;IV;0;LEXUS;E;LEXUS_RX;RX;2998690
29468;"LEXUS RX внедорожник 5 дв. IV";0;21172224;5;20526067;IV;0;LEXUS;E;LEXUS_RX;RX;3650000
29471;"LIFAN Murman (820) седан ";0;21038353;4;21038321;;0;LIFAN;D;LIFAN_MURMAN;"Murman (820)";430000
29473;"LIFAN Myway внедорожник 5 дв. ";0;20973445;5;20973420;;0;LIFAN;C;LIFAN_MYWAY;Myway;740000
29475;"LIFAN X50 хэтчбек 5 дв. ";0;20593090;5;20593038;;0;LIFAN;B;LIFAN_X50;X50;370000
29477;"LIFAN X70 внедорожник 5 дв. I";0;21251589;5;21251497;I;0;LIFAN;C;LIFAN_X70;X70;1000000
29480;"MAZDA 3 седан III (BM) Рестайлинг";0;20911683;4;20911243;"III (BM) Рестайлинг";1;MAZDA;C;MAZDA_3;3;1250000
29481;"MAZDA 3 хэтчбек 5 дв. III (BM) Рестайлинг";0;20911334;5;20911243;"III (BM) Рестайлинг";1;MAZDA;C;MAZDA_3;3;1395000
29483;"MAZDA Atenza универсал 5 дв. III Рестайлинг 2";0;23191909;5;23191603;"III Рестайлинг 2";1;MAZDA;D;MAZDA_ATENZA;Atenza;1545000
29485;"MAZDA Axela седан III Рестайлинг";0;21108531;4;21108478;"III Рестайлинг";1;MAZDA;C;MAZDA_AXELA;Axela;805000
29486;"MAZDA Axela хэтчбек 5 дв. III Рестайлинг";0;21108519;5;21108478;"III Рестайлинг";1;MAZDA;C;MAZDA_AXELA;Axela;850000
29488;"MAZDA CX-9 внедорожник 5 дв. II";0;20800922;5;20800889;II;0;MAZDA;E;MAZDA_CX_9;CX-9;2445668
29490;"MAZDA Demio хэтчбек 5 дв. IV (DJ)";0;20470329;5;20355672;"IV (DJ)";0;MAZDA;B;MAZDA_DEMIO;Demio;720000
29493;"MERCEDES A-Класс AMG седан II (W177)";0;21655587;4;21655525;"II (W177)";0;MERCEDES;C;MERCEDES_A_KLASSE_AMG;"A-Класс AMG";3900000
29494;"MERCEDES A-Класс AMG хэтчбек 5 дв. II (W177)";0;21656413;5;21655525;"II (W177)";0;MERCEDES;C;MERCEDES_A_KLASSE_AMG;"A-Класс AMG";3519000
29496;"MERCEDES Citan компактвэн I (W415)";0;20088543;5;20047954;"I (W415)";0;MERCEDES;M;MERCEDES_CITAN;Citan;720000
29498;"MERCEDES CLA седан I (C117, X117) Рестайлинг";0;20769795;4;20769760;"I (C117, X117) Рестайлинг";1;MERCEDES;C;MERCEDES_CLA_KLASSE;CLA;1499000
29499;"MERCEDES CLA универсал 5 дв. I (C117, X117) Рестайлинг";0;20769826;5;20769760;"I (C117, X117) Рестайлинг";1;MERCEDES;C;MERCEDES_CLA_KLASSE;CLA;1700000
29501;"MERCEDES CLA AMG седан I (C117, X117) Рестайлинг";0;20770021;4;20769988;"I (C117, X117) Рестайлинг";1;MERCEDES;C;MERCEDES_CLA_KLASSE_AMG;"CLA AMG";2448000
29503;"MERCEDES GLA внедорожник 5 дв. I (X156) Рестайлинг";0;20896091;5;20896051;"I (X156) Рестайлинг";1;MERCEDES;C;MERCEDES_GLA_CLASS;GLA;1500000
29505;"MERCEDES GLA AMG внедорожник 5 дв. I (X156) Рестайлинг";0;20896648;5;20896415;"I (X156) Рестайлинг";1;MERCEDES;C;MERCEDES_GLA_CLASS_AMG;"GLA AMG";2600000
29507;"MERCEDES GLC внедорожник 5 дв. I (X253)";0;20628157;5;20628117;"I (X253)";0;MERCEDES;D;MERCEDES_GLC_KLASSE;GLC;1900000
29509;"MERCEDES GLC AMG внедорожник 5 дв. I (X253)";0;20770557;5;20770518;"I (X253)";0;MERCEDES;D;MERCEDES_GLC_KLASSE_AMG;"GLC AMG";2980000
29511;"MERCEDES GLC Coupe внедорожник 5 дв. I (C253)";0;20771573;5;20771543;"I (C253)";0;MERCEDES;D;MERCEDES_GLC_COUPE;"GLC Coupe";2849000
29513;"MERCEDES GLC Coupe AMG внедорожник 5 дв. I (C253)";0;20840746;5;20840712;"I (C253)";0;MERCEDES;D;MERCEDES_AMG_GLC_COUPE;"GLC Coupe AMG";3350000
29515;"MERCEDES GLE AMG внедорожник 5 дв. I (W166)";0;20530115;5;20530107;"I (W166)";0;MERCEDES;E;MERCEDES_GLE_KLASSE_AMG;"GLE AMG";3800000
29517;"MERCEDES GLE Coupe внедорожник 5 дв. I (C292)";0;20493426;5;20493393;"I (C292)";0;MERCEDES;E;MERCEDES_GLE_KLASSE_COUPE;"GLE Coupe";3299000
29519;"MERCEDES GLE Coupe AMG внедорожник 5 дв. I (C292)";0;20493436;5;20493428;"I (C292)";0;MERCEDES;E;MERCEDES_GLE_KLASSE_COUPE_AMG;"GLE Coupe AMG";4000000
29521;"MERCEDES GLS внедорожник 5 дв. I (X166)";0;20712577;5;20712531;"I (X166)";0;MERCEDES;F;MERCEDES_GLS_KLASSE;GLS;3650000
29523;"MERCEDES GLS AMG внедорожник 5 дв. I (X166)";0;20712795;5;20712716;"I (X166)";0;MERCEDES;F;MERCEDES_GLS_KLASSE_AMG;"GLS AMG";4200000
29525;"MERCEDES SLC родстер I (R172)";0;20735293;2;20735253;"I (R172)";0;MERCEDES;S;MERCEDES_SLC_KLASSE;SLC;3100000
29527;"MERCEDES SLC AMG родстер I (R172)";0;20735791;2;20735755;"I (R172)";0;MERCEDES;S;MERCEDES_SLC_KLASSE_AMG;"SLC AMG";4390000
29529;"MERCEDES X-Класс пикап двойная кабина I";0;20862716;4;20862679;I;0;MERCEDES;J;MERCEDES_X_KLASSE;X-Класс;7000000
29531;"MERCEDES A-Класс седан IV (W177)";0;21356434;4;21198161;"IV (W177)";0;MERCEDES;C;MERCEDES_A_KLASSE;A-Класс;2100000
